token,tsne_2d_x,tsne_2d_y,tsne_3d_x,tsne_3d_y,tsne_3d_z,pca_2d_x,pca_2d_y
explanation,-5.23999,1.3151124,85.4437,19.116272,91.83982,0.04351677,0.2523067
names,-5.0820746,0.082839675,-98.47335,4.75448,12.074309,-0.75847316,0.2501646
with,-1.3670135,-0.045656737,-62.98097,-59.187088,81.786736,-0.6279739,-1.0646322
q,-5.6258883,-6.068313,44.56596,25.265871,-76.217636,0.62596524,0.63797855
produce,-1.818072,3.3631804,11.795144,-4.7637725,-58.495335,0.9855308,-0.27457526
##ari,-7.7726116,-3.543112,-5.603705,-29.859163,6.7719045,-0.2934731,0.97115475
db,-6.7609115,-5.339,87.81063,-32.517628,79.207184,-0.16737525,1.2008508
:,-4.6127462,-0.71904594,71.153244,-33.11087,-61.798065,-0.79589844,0.2980811
],-1.9406595,-3.132448,-17.227024,-73.41036,16.286768,-1.1408031,-0.19727871
the,-2.2207909,-0.16804042,-98.32423,-38.88712,-46.183678,-0.6437733,-0.57809526
sc,-3.1320217,-5.2844872,-56.418617,-50.92345,33.96922,-0.14900915,0.37969804
s,-2.7514274,-4.6821876,5.6028614,51.446564,-102.01928,-0.15469636,-0.48923376
",",-0.054420672,-0.86218035,-90.02808,-22.407476,54.228394,-0.4660729,-1.1085713
if,1.2872186,2.1155527,121.08839,78.91322,2.7237637,1.2608881,-1.7915466
##y,-7.831771,-4.1677337,81.2334,-53.27045,6.160402,0.49362823,1.2106849
output,-3.3589976,5.327743,32.265617,71.3688,-58.966175,1.900219,0.19270378
note,-5.7318106,-1.1825074,-12.816186,-43.289227,73.13933,-0.988342,0.7110485
appropriate,-3.7408543,0.9748588,52.290047,-94.094505,28.187374,-0.20777415,-0.24198146
how,1.6320689,-1.0271672,-56.60162,86.87236,67.48677,-0.48447922,-1.1708584
insufficient,-4.168891,0.44239318,30.474667,-53.25733,-57.0576,-0.48685732,0.23649696
true,-0.026320808,4.097269,61.81649,62.212875,-3.559014,-0.14985727,-0.6144669
you,-0.7017503,-1.9472587,-13.458781,-102.80698,61.771965,-0.77368915,-0.7408555
to,0.79833895,-0.547798,-55.101223,52.08698,105.906746,0.011033881,-1.4241545
value,-3.0553758,4.7812033,116.45391,-83.3084,-3.8328214,0.9167235,-0.21672533
tables,-6.14424,0.42570955,92.30408,30.704762,-70.091095,-0.2631316,0.8690246
questions,-7.3677044,4.549935,-37.333466,54.512238,-4.4137163,1.1998839,0.35017708
generate,-3.769047,7.0853415,12.437215,83.8102,1.1048976,5.0738688,-0.3229747
.,0.7011564,-1.791636,-93.206604,-106.78504,-26.776558,-0.14289433,-0.8884965
all,-2.208863,-0.9421952,-14.79358,53.53592,40.477375,-1.1313965,-0.45806983
false,-0.17002498,4.42118,81.36415,37.61512,-18.067072,0.8798505,-0.0052900785
1,-4.3924036,-2.6025395,-35.008118,-15.898993,104.02771,-0.8347146,0.2631758
a,-2.0725648,0.14130694,120.27888,-59.32026,51.382828,-0.31810656,-0.7083398
st,-2.4668887,-5.4162846,-96.891754,-77.58401,41.871113,-0.3727374,0.16537207
#,-6.832777,-2.8750608,29.420633,17.363459,5.338726,-0.7759675,0.7648657
case,-2.9486127,0.90516347,-10.116832,3.9251919,-116.46141,-0.315398,-0.17729554
current,-8.057107,-0.78535694,78.60116,-70.80984,-93.18783,-0.50425184,1.6765913
interactions,-3.2736835,2.373625,-54.4678,25.81053,-41.13912,0.3189901,-0.23972005
"""",-1.7450507,-1.6214306,-50.2744,25.298212,36.27137,-1.5700531,-0.6747307
2,-3.8619692,-2.2427773,27.029987,30.123932,87.56485,-1.4907175,0.11753274
as,-0.35472214,0.79269063,-61.528336,-58.741425,-20.695055,-0.0635608,-1.4747629
query,-4.028165,6.820204,-17.650028,105.11509,-4.65282,4.2298255,0.88082165
for,-0.1820857,1.3070406,-37.164436,67.07588,-64.89284,0.27973884,-1.2166386
),-2.520826,-2.4647171,-13.488099,-1.8154233,44.185944,-1.1737148,-0.23583166
when,0.8497872,1.0023371,-84.7728,70.19535,-38.80556,0.33264777,-1.6225336
structured,-4.124438,3.0624342,-11.128726,12.268855,-23.80546,1.0281116,-0.15278582
