timestamp,gpu_index,gpu_name,temperature_c,power_w,power_limit_w,gpu_util_percent,vram_util_percent,vram_used_mb,vram_total_mb,fan_speed_percent,clock_gpu_mhz,clock_mem_mhz,perf_state,active_processes
2025-07-15 22:56:12,0,NVIDIA GeForce RTX 4070,39,17.103,215.0,12,12,1341.81,12282.0,30,1605,810,5,0
2025-07-15 22:56:17,0,NVIDIA GeForce RTX 4070,39,17.45,215.0,4,12,1338.5,12282.0,30,510,810,5,0
2025-07-15 22:56:22,0,NVIDIA GeForce RTX 4070,38,16.981,215.0,8,13,1338.06,12282.0,30,2265,810,5,0
2025-07-15 22:56:27,0,NVIDIA GeForce RTX 4070,38,17.574,215.0,5,12,1338.06,12282.0,30,2115,810,5,0
2025-07-15 22:56:32,0,NVIDIA GeForce RTX 4070,38,18.184,215.0,10,13,1338.44,12282.0,30,1875,810,5,0
2025-07-15 22:56:37,0,NVIDIA GeForce RTX 4070,38,17.51,215.0,5,11,1330.44,12282.0,30,510,810,5,0
2025-07-15 22:56:42,0,NVIDIA GeForce RTX 4070,38,17.503,215.0,5,9,1330.44,12282.0,30,540,810,5,0
2025-07-15 22:56:47,0,NVIDIA GeForce RTX 4070,38,17.002,215.0,16,25,1278.44,12282.0,30,375,405,8,0
2025-07-15 22:56:52,0,NVIDIA GeForce RTX 4070,38,17.179,215.0,5,12,1278.44,12282.0,30,2085,810,5,0
2025-07-15 22:56:57,0,NVIDIA GeForce RTX 4070,38,17.291,215.0,6,12,1278.44,12282.0,30,555,810,5,0
2025-07-15 22:57:02,0,NVIDIA GeForce RTX 4070,37,17.689,215.0,5,12,1278.44,12282.0,30,1410,810,5,0
2025-07-15 22:57:07,0,NVIDIA GeForce RTX 4070,37,17.329,215.0,13,13,1278.44,12282.0,30,450,810,5,0
2025-07-15 22:57:12,0,NVIDIA GeForce RTX 4070,37,16.168,215.0,15,21,1278.44,12282.0,30,330,405,8,0
2025-07-15 22:57:17,0,NVIDIA GeForce RTX 4070,37,18.812,215.0,13,13,1333.5,12282.0,30,1470,810,5,0
2025-07-15 22:57:22,0,NVIDIA GeForce RTX 4070,37,18.57,215.0,13,16,1327.06,12282.0,30,975,810,5,0
2025-07-15 22:57:27,0,NVIDIA GeForce RTX 4070,37,18.036,215.0,1,8,1306.06,12282.0,30,1800,810,5,0
2025-07-15 22:57:32,0,NVIDIA GeForce RTX 4070,37,16.093,215.0,8,21,1305.31,12282.0,30,330,405,8,0
2025-07-15 22:57:37,0,NVIDIA GeForce RTX 4070,37,17.63,215.0,10,14,1331.94,12282.0,30,495,810,5,0
2025-07-15 22:57:42,0,NVIDIA GeForce RTX 4070,37,17.985,215.0,8,13,1309.94,12282.0,30,1395,810,5,0
2025-07-15 22:57:47,0,NVIDIA GeForce RTX 4070,37,18.619,215.0,1,7,1318.62,12282.0,30,2055,810,5,0
2025-07-15 22:57:52,0,NVIDIA GeForce RTX 4070,36,14.721,215.0,7,19,1297.75,12282.0,30,210,405,8,0
2025-07-15 22:57:58,0,NVIDIA GeForce RTX 4070,36,16.373,215.0,9,21,1314.31,12282.0,30,1605,810,5,0
2025-07-15 22:58:03,0,NVIDIA GeForce RTX 4070,36,15.36,215.0,4,18,1315.12,12282.0,30,360,405,8,0
